participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.type,player.partner_id,player.partner_type,player.signal,player.choice,player.partner_choice,player.match,player.late,player.points,player.payoff,group.id_in_subsession,subsession.round_number,subsession.game,subsession.game_name,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,3ogfpz96,,0,390,390,finalpage,1,MyPage,147.156.150.6,2018-12-03 09:33:08.771656+00:00,1,,,83,1,3,6,3,3,1,0,0,,25,0,1,1,0,A,snm1zpda,,,,,,0
2,x46ctpeh,,0,390,390,finalpage,1,MyPage,147.156.150.10,2018-12-03 09:33:24.204588+00:00,1,,,85,2,2,4,1,1,1,1,1,,160,0,1,1,0,A,snm1zpda,,,,,,0
3,khjx2rce,,0,390,390,finalpage,1,MyPage,147.156.150.12,2018-12-03 09:33:49.268994+00:00,1,,,92,3,2,7,2,2,1,0,0,,75,0,1,1,0,A,snm1zpda,,,,,,0
4,z01kan5a,,0,390,390,finalpage,1,MyPage,147.156.150.14,2018-12-03 09:34:15.867634+00:00,1,,,90,4,2,2,2,2,1,1,1,,80,0,1,1,0,A,snm1zpda,,,,,,0
5,53tq7xhv,,0,390,390,finalpage,1,MyPage,147.156.150.15,2018-12-03 09:34:43.439151+00:00,1,,,87,5,3,8,3,3,1,0,0,,25,0,1,1,0,A,snm1zpda,,,,,,0
6,ean3f3gn,,0,390,390,finalpage,1,MyPage,147.156.150.17,2018-12-03 09:35:00.441782+00:00,1,,,80,6,2,1,1,1,0,1,0,,75,0,1,1,0,A,snm1zpda,,,,,,0
7,j100j9d0,,0,390,390,finalpage,1,MyPage,147.156.150.19,2018-12-03 09:35:18.250586+00:00,1,,,37,7,1,3,2,2,0,1,0,,100,0,1,1,0,A,snm1zpda,,,,,,0
8,s23us0cr,,0,390,390,finalpage,1,MyPage,147.156.150.25,2018-12-03 09:35:32.959681+00:00,1,,,172,8,1,5,2,2,0,1,0,,100,0,1,1,0,A,snm1zpda,,,,,,0
9,ae04hhn8,,0,390,390,finalpage,1,MyPage,147.156.150.33,2018-12-03 09:36:02.438072+00:00,1,,,45,1,1,6,2,2,1,1,1,,80,0,2,1,0,A,snm1zpda,,,,,,0
10,2aof1tv1,,0,390,390,finalpage,1,MyPage,147.156.150.22,2018-12-03 09:36:17.271520+00:00,1,,,83,2,3,4,3,3,1,1,1,,40,0,2,1,0,A,snm1zpda,,,,,,0
11,ny1w9b0s,,0,390,390,finalpage,1,MyPage,147.156.150.32,2018-12-03 09:36:31.237011+00:00,1,,,87,3,3,7,3,3,1,1,1,,40,0,2,1,0,A,snm1zpda,,,,,,0
12,0bytp6mo,,0,390,390,finalpage,1,MyPage,147.156.150.23,2018-12-03 09:36:45.192260+00:00,1,,,91,4,3,2,3,3,1,1,1,,40,0,2,1,0,A,snm1zpda,,,,,,0
13,j93lsoy8,,0,390,390,finalpage,1,MyPage,147.156.150.26,2018-12-03 09:37:15.088637+00:00,1,,,37,5,3,8,1,2,1,1,1,,160,0,2,1,0,A,snm1zpda,,,,,,0
14,yn5j7xmy,,0,390,390,finalpage,1,MyPage,147.156.150.37,2018-12-03 09:37:57.259324+00:00,1,,,47,6,2,1,1,1,1,1,1,,160,0,2,1,0,A,snm1zpda,,,,,,0
15,2p8fjeaw,,0,390,390,finalpage,1,MyPage,147.156.150.27,2018-12-03 09:38:13.889959+00:00,1,,,92,7,3,3,3,3,1,1,1,,40,0,2,1,0,A,snm1zpda,,,,,,0
16,03bxhlr7,,0,390,390,finalpage,1,MyPage,147.156.150.38,2018-12-03 09:38:29.723489+00:00,1,,,37,8,1,5,3,3,1,1,1,,40,0,2,1,0,A,snm1zpda,,,,,,0
1,3ogfpz96,,0,390,390,finalpage,1,MyPage,147.156.150.6,2018-12-03 09:33:08.771656+00:00,1,,,83,1,1,2,2,2,1,1,1,,80,0,1,2,1,B,snm1zpda,,,,,,0
2,x46ctpeh,,0,390,390,finalpage,1,MyPage,147.156.150.10,2018-12-03 09:33:24.204588+00:00,1,,,85,2,2,1,1,1,1,1,1,,160,0,1,2,1,B,snm1zpda,,,,,,0
3,khjx2rce,,0,390,390,finalpage,1,MyPage,147.156.150.12,2018-12-03 09:33:49.268994+00:00,1,,,92,3,1,5,2,2,1,0,0,,80,0,1,2,1,B,snm1zpda,,,,,,0
4,z01kan5a,,0,390,390,finalpage,1,MyPage,147.156.150.14,2018-12-03 09:34:15.867634+00:00,1,,,90,4,1,8,2,2,0,1,0,,80,0,1,2,1,B,snm1zpda,,,,,,0
5,53tq7xhv,,0,390,390,finalpage,1,MyPage,147.156.150.15,2018-12-03 09:34:43.439151+00:00,1,,,87,5,1,3,1,2,0,1,0,,80,0,1,2,1,B,snm1zpda,,,,,,0
6,ean3f3gn,,0,390,390,finalpage,1,MyPage,147.156.150.17,2018-12-03 09:35:00.441782+00:00,1,,,80,6,2,7,1,1,1,1,1,,160,0,1,2,1,B,snm1zpda,,,,,,0
7,j100j9d0,,0,390,390,finalpage,1,MyPage,147.156.150.19,2018-12-03 09:35:18.250586+00:00,1,,,37,7,2,6,1,1,1,1,1,,160,0,1,2,1,B,snm1zpda,,,,,,0
8,s23us0cr,,0,390,390,finalpage,1,MyPage,147.156.150.25,2018-12-03 09:35:32.959681+00:00,1,,,172,8,1,4,1,1,1,0,0,,80,0,1,2,1,B,snm1zpda,,,,,,0
9,ae04hhn8,,0,390,390,finalpage,1,MyPage,147.156.150.33,2018-12-03 09:36:02.438072+00:00,1,,,45,1,3,2,2,2,1,0,0,,25,0,2,2,1,B,snm1zpda,,,,,,0
10,2aof1tv1,,0,390,390,finalpage,1,MyPage,147.156.150.22,2018-12-03 09:36:17.271520+00:00,1,,,83,2,2,1,3,2,0,1,0,,75,0,2,2,1,B,snm1zpda,,,,,,0
11,ny1w9b0s,,0,390,390,finalpage,1,MyPage,147.156.150.32,2018-12-03 09:36:31.237011+00:00,1,,,87,3,2,5,3,3,0,1,0,,75,0,2,2,1,B,snm1zpda,,,,,,0
12,0bytp6mo,,0,390,390,finalpage,1,MyPage,147.156.150.23,2018-12-03 09:36:45.192260+00:00,1,,,91,4,3,8,2,2,1,1,1,,80,0,2,2,1,B,snm1zpda,,,,,,0
13,j93lsoy8,,0,390,390,finalpage,1,MyPage,147.156.150.26,2018-12-03 09:37:15.088637+00:00,1,,,37,5,3,3,2,2,1,0,0,,25,0,2,2,1,B,snm1zpda,,,,,,0
14,yn5j7xmy,,0,390,390,finalpage,1,MyPage,147.156.150.37,2018-12-03 09:37:57.259324+00:00,1,,,47,6,1,7,1,2,1,1,1,,160,0,2,2,1,B,snm1zpda,,,,,,0
15,2p8fjeaw,,0,390,390,finalpage,1,MyPage,147.156.150.27,2018-12-03 09:38:13.889959+00:00,1,,,92,7,1,6,1,2,1,1,1,,160,0,2,2,1,B,snm1zpda,,,,,,0
16,03bxhlr7,,0,390,390,finalpage,1,MyPage,147.156.150.38,2018-12-03 09:38:29.723489+00:00,1,,,37,8,2,4,3,3,1,1,1,,40,0,2,2,1,B,snm1zpda,,,,,,0
1,3ogfpz96,,0,390,390,finalpage,1,MyPage,147.156.150.6,2018-12-03 09:33:08.771656+00:00,1,,,83,1,2,3,2,2,1,0,0,,75,0,1,3,0,A,snm1zpda,,,,,,0
2,x46ctpeh,,0,390,390,finalpage,1,MyPage,147.156.150.10,2018-12-03 09:33:24.204588+00:00,1,,,85,2,2,4,3,2,1,1,1,,40,0,1,3,0,A,snm1zpda,,,,,,0
3,khjx2rce,,0,390,390,finalpage,1,MyPage,147.156.150.12,2018-12-03 09:33:49.268994+00:00,1,,,92,3,2,1,1,2,0,1,0,,75,0,1,3,0,A,snm1zpda,,,,,,0
4,z01kan5a,,0,390,390,finalpage,1,MyPage,147.156.150.14,2018-12-03 09:34:15.867634+00:00,1,,,90,4,2,2,2,2,1,1,1,,80,0,1,3,0,A,snm1zpda,,,,,,0
5,53tq7xhv,,0,390,390,finalpage,1,MyPage,147.156.150.15,2018-12-03 09:34:43.439151+00:00,1,,,87,5,3,8,2,2,1,0,0,,25,0,1,3,0,A,snm1zpda,,,,,,0
6,ean3f3gn,,0,390,390,finalpage,1,MyPage,147.156.150.17,2018-12-03 09:35:00.441782+00:00,1,,,80,6,2,7,1,1,1,0,0,,75,0,1,3,0,A,snm1zpda,,,,,,0
