participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.type,player.status,player.status_name,player.partner_id,player.partner_type,player.signal,player.choice,player.partner_choice,player.match,player.late,player.points,player.payoff,group.id_in_subsession,subsession.round_number,subsession.game,subsession.game_name,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,dsvqrgmb,,0,452,452,finalpage,1,MyPage,147.156.150.6,2018-12-03 11:36:44.479260+00:00,1,,,96,1,3,1,passive,8,2,2,1,1,1,,80,0,1,1,2,C,w5z49a3s,,,,,,0
2,n6upjgjy,,0,452,452,finalpage,1,MyPage,147.156.150.10,2018-12-03 11:36:58.915432+00:00,1,,,161,2,2,0,active,7,1,2,1,1,1,,160,0,1,1,2,C,w5z49a3s,,,,,,0
3,1f4x740q,,0,452,452,finalpage,1,MyPage,147.156.150.12,2018-12-03 11:37:09.759261+00:00,1,,,81,3,2,1,passive,4,2,2,1,1,1,,80,0,1,1,2,C,w5z49a3s,,,,,,0
4,mknijabm,,0,452,452,finalpage,1,MyPage,147.156.150.14,2018-12-03 11:37:20.352895+00:00,1,,,85,4,2,0,active,3,2,2,1,1,1,,80,0,1,1,2,C,w5z49a3s,,,,,,0
5,yk1d1sbr,,0,452,452,finalpage,1,MyPage,147.156.150.15,2018-12-03 11:37:39.311969+00:00,1,,,96,5,2,0,active,6,2,2,0,1,0,,75,0,1,1,2,C,w5z49a3s,,,,,,0
6,7ot2i0xg,,0,452,452,finalpage,1,MyPage,147.156.150.17,2018-12-03 11:37:50.710989+00:00,1,,,112,6,2,1,passive,5,2,2,1,0,0,,75,0,1,1,2,C,w5z49a3s,,,,,,0
7,g22usw6w,,0,452,452,finalpage,1,MyPage,147.156.150.19,2018-12-03 11:38:03.103704+00:00,1,,,174,7,1,1,passive,2,2,2,1,1,1,,80,0,1,1,2,C,w5z49a3s,,,,,,0
8,bc0ffwy9,,0,452,452,finalpage,1,MyPage,147.156.150.25,2018-12-03 11:38:15.978716+00:00,1,,,91,8,2,0,active,1,3,2,1,1,1,,40,0,1,1,2,C,w5z49a3s,,,,,,0
9,oofkb8xf,,0,452,452,finalpage,1,MyPage,147.156.150.33,2018-12-03 11:38:37.079306+00:00,1,,,86,1,3,1,passive,4,2,2,1,1,1,,80,0,2,1,2,C,w5z49a3s,,,,,,0
10,vhegxpzc,,0,452,452,finalpage,1,MyPage,147.156.150.22,2018-12-03 11:38:48.940944+00:00,1,,,174,2,1,1,passive,6,2,2,1,1,1,,80,0,2,1,2,C,w5z49a3s,,,,,,0
11,kwosddsn,,0,452,452,finalpage,1,MyPage,147.156.150.32,2018-12-03 11:39:03.858924+00:00,1,,,92,3,2,0,active,5,3,3,0,1,0,,75,0,2,1,2,C,w5z49a3s,,,,,,0
12,vif496ce,,0,452,452,finalpage,1,MyPage,147.156.150.23,2018-12-03 11:39:16.157613+00:00,1,,,94,4,2,0,active,1,3,2,1,1,1,,40,0,2,1,2,C,w5z49a3s,,,,,,0
13,vxc3rg5t,,0,452,452,finalpage,1,MyPage,147.156.150.26,2018-12-03 11:39:36.242471+00:00,1,,,88,5,3,1,passive,3,2,2,1,0,0,,25,0,2,1,2,C,w5z49a3s,,,,,,0
14,2yvyyp74,,0,452,452,finalpage,1,MyPage,147.156.150.37,2018-12-03 11:39:50.951146+00:00,1,,,56,6,2,0,active,2,1,1,1,1,1,,160,0,2,1,2,C,w5z49a3s,,,,,,0
15,cm36ru2x,,0,452,452,finalpage,1,MyPage,147.156.150.27,2018-12-03 11:40:04.211750+00:00,1,,,170,7,3,1,passive,8,2,2,1,1,1,,80,0,2,1,2,C,w5z49a3s,,,,,,0
16,erkd1z3z,,0,452,452,finalpage,1,MyPage,147.156.150.38,2018-12-03 11:40:16.415324+00:00,1,,,81,8,2,0,active,7,3,2,1,1,1,,40,0,2,1,2,C,w5z49a3s,,,,,,0
1,dsvqrgmb,,0,452,452,finalpage,1,MyPage,147.156.150.6,2018-12-03 11:36:44.479260+00:00,1,,,96,1,1,1,passive,8,2,2,0,0,0,,100,0,1,2,3,D,w5z49a3s,,,,,,0
2,n6upjgjy,,0,452,452,finalpage,1,MyPage,147.156.150.10,2018-12-03 11:36:58.915432+00:00,1,,,161,2,2,0,active,4,3,2,1,1,1,,40,0,1,2,3,D,w5z49a3s,,,,,,0
3,1f4x740q,,0,452,452,finalpage,1,MyPage,147.156.150.12,2018-12-03 11:37:09.759261+00:00,1,,,81,3,2,0,active,7,3,3,1,1,1,,40,0,1,2,3,D,w5z49a3s,,,,,,0
4,mknijabm,,0,452,452,finalpage,1,MyPage,147.156.150.14,2018-12-03 11:37:20.352895+00:00,1,,,85,4,3,1,passive,2,2,2,1,1,1,,80,0,1,2,3,D,w5z49a3s,,,,,,0
5,yk1d1sbr,,0,452,452,finalpage,1,MyPage,147.156.150.15,2018-12-03 11:37:39.311969+00:00,1,,,96,5,1,1,passive,6,2,2,1,0,0,,100,0,1,2,3,D,w5z49a3s,,,,,,0
6,7ot2i0xg,,0,452,452,finalpage,1,MyPage,147.156.150.17,2018-12-03 11:37:50.710989+00:00,1,,,112,6,2,0,active,5,1,2,0,1,0,,75,0,1,2,3,D,w5z49a3s,,,,,,0
7,g22usw6w,,0,452,452,finalpage,1,MyPage,147.156.150.19,2018-12-03 11:38:03.103704+00:00,1,,,174,7,3,1,passive,3,2,2,1,1,1,,80,0,1,2,3,D,w5z49a3s,,,,,,0
8,bc0ffwy9,,0,452,452,finalpage,1,MyPage,147.156.150.25,2018-12-03 11:38:15.978716+00:00,1,,,91,8,2,0,active,1,1,2,0,0,0,,75,0,1,2,3,D,w5z49a3s,,,,,,0
9,oofkb8xf,,0,452,452,finalpage,1,MyPage,147.156.150.33,2018-12-03 11:38:37.079306+00:00,1,,,86,1,2,0,active,5,1,2,0,0,0,,75,0,2,2,3,D,w5z49a3s,,,,,,0
10,vhegxpzc,,0,452,452,finalpage,1,MyPage,147.156.150.22,2018-12-03 11:38:48.940944+00:00,1,,,174,2,2,0,active,7,3,2,0,1,0,,75,0,2,2,3,D,w5z49a3s,,,,,,0
11,kwosddsn,,0,452,452,finalpage,1,MyPage,147.156.150.32,2018-12-03 11:39:03.858924+00:00,1,,,92,3,2,0,active,4,1,2,0,0,0,,75,0,2,2,3,D,w5z49a3s,,,,,,0
