participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.choice_1,player.choice_2,player.choice_3,player.choice_4,player.choice_5,player.choice_6,player.choice_7,player.choice_8,player.choice_9,player.choice_10,player.random_draw,player.choice_to_pay,player.option_to_pay,player.inconsistent,player.switching_row,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,dsvqrgmb,,0,452,452,finalpage,1,MyPage,147.156.150.6,2018-12-03 11:36:44.479260+00:00,1,,,96,1,A,A,A,A,B,B,B,B,B,B,4,choice_6,B,0,5,10,1,1,w5z49a3s,,,,,,0
2,n6upjgjy,,0,452,452,finalpage,1,MyPage,147.156.150.10,2018-12-03 11:36:58.915432+00:00,1,,,161,2,A,A,A,A,A,B,B,B,B,B,7,choice_6,B,0,6,1,1,1,w5z49a3s,,,,,,0
3,1f4x740q,,0,452,452,finalpage,1,MyPage,147.156.150.12,2018-12-03 11:37:09.759261+00:00,1,,,81,3,B,B,B,B,B,B,B,B,B,B,8,choice_5,B,0,1,1,1,1,w5z49a3s,,,,,,0
4,mknijabm,,0,452,452,finalpage,1,MyPage,147.156.150.14,2018-12-03 11:37:20.352895+00:00,1,,,85,4,A,A,A,A,A,A,A,B,B,B,6,choice_7,A,0,8,6,1,1,w5z49a3s,,,,,,0
5,yk1d1sbr,,0,452,452,finalpage,1,MyPage,147.156.150.15,2018-12-03 11:37:39.311969+00:00,1,,,96,5,A,A,A,A,A,A,B,B,B,B,5,choice_10,B,0,7,10,1,1,w5z49a3s,,,,,,0
6,7ot2i0xg,,0,452,452,finalpage,1,MyPage,147.156.150.17,2018-12-03 11:37:50.710989+00:00,1,,,112,6,A,A,A,A,A,B,B,B,B,B,4,choice_8,B,0,6,10,1,1,w5z49a3s,,,,,,0
7,g22usw6w,,0,452,452,finalpage,1,MyPage,147.156.150.19,2018-12-03 11:38:03.103704+00:00,1,,,174,7,A,A,A,A,A,A,B,B,B,B,3,choice_10,B,0,7,10,1,1,w5z49a3s,,,,,,0
8,bc0ffwy9,,0,452,452,finalpage,1,MyPage,147.156.150.25,2018-12-03 11:38:15.978716+00:00,1,,,91,8,A,A,A,A,A,A,B,B,B,B,6,choice_1,A,0,7,5,1,1,w5z49a3s,,,,,,0
9,oofkb8xf,,0,452,452,finalpage,1,MyPage,147.156.150.33,2018-12-03 11:38:37.079306+00:00,1,,,86,9,A,A,A,A,A,A,A,A,A,B,7,choice_6,A,0,10,5,1,1,w5z49a3s,,,,,,0
10,vhegxpzc,,0,452,452,finalpage,1,MyPage,147.156.150.22,2018-12-03 11:38:48.940944+00:00,1,,,174,10,A,A,A,A,A,B,B,B,B,B,6,choice_9,B,0,6,10,1,1,w5z49a3s,,,,,,0
11,kwosddsn,,0,452,452,finalpage,1,MyPage,147.156.150.32,2018-12-03 11:39:03.858924+00:00,1,,,92,11,A,A,A,A,A,A,A,A,B,B,6,choice_8,A,0,9,6,1,1,w5z49a3s,,,,,,0
12,vif496ce,,0,452,452,finalpage,1,MyPage,147.156.150.23,2018-12-03 11:39:16.157613+00:00,1,,,94,12,A,A,A,A,A,A,B,B,B,B,1,choice_7,B,0,7,10,1,1,w5z49a3s,,,,,,0
13,vxc3rg5t,,0,452,452,finalpage,1,MyPage,147.156.150.26,2018-12-03 11:39:36.242471+00:00,1,,,88,13,A,A,A,A,A,A,A,A,B,B,3,choice_3,A,0,9,6,1,1,w5z49a3s,,,,,,0
14,2yvyyp74,,0,452,452,finalpage,1,MyPage,147.156.150.37,2018-12-03 11:39:50.951146+00:00,1,,,56,14,A,A,A,B,B,B,B,B,B,B,8,choice_10,B,0,4,10,1,1,w5z49a3s,,,,,,0
15,cm36ru2x,,0,452,452,finalpage,1,MyPage,147.156.150.27,2018-12-03 11:40:04.211750+00:00,1,,,170,15,A,A,A,B,B,B,B,B,B,B,4,choice_9,B,0,4,10,1,1,w5z49a3s,,,,,,0
16,erkd1z3z,,0,452,452,finalpage,1,MyPage,147.156.150.38,2018-12-03 11:40:16.415324+00:00,1,,,81,16,A,A,A,A,A,B,B,B,B,B,5,choice_5,A,0,6,6,1,1,w5z49a3s,,,,,,0
